idx,item_nm
1020,Диск щеточный 280x700 полипропиленовый гнутый Билайн
2660,Фильтр топливный
910,Фланец
2435,Шланг гидравлический
4191,Подшипник игольчатый 22х28х16
4480,Сальник 35х50х8
6816,R190-R195 Втулка шатуна
5809,Металлическая пластина
5437,Радиатор в сборе SD4BW45
7071,Рычаг тормоза
4246,Нож
2115,Коробка отбора мощности 85.4509-4202011 
6166,Диск
3671,Поршневой комплект на дизель КМ385 BT
6199,Прокладка крышки подшипника полуоси Уралец/Синтай
2617,Прокладка между основной и дополнительной коробками передач Уралец 160/180/220/Xingtai
2627,Покрышка Шина 11.2-24 (Елочка)
3198,Рычаг JF
4138,Болт
5817,Пластина
704,Звёздочка
4079,Масляный насос 4DW91-45
2092,"Шайба 9.3х15.0х1.0 КАМАЗ,ЯМЗ форсунок медная "
6938,"Фильтр 322-4 напорный с резьбовым соединением G 1"" M-M (100 меш (зелёный) с клапаном)"
5992,Звено соединительное
6850,Тавотница
2157,Опора
1132,Чистик
6513,"Шестигранная гайка низкая DIN936 M20x2.50 сталь, оцинкованная, класс 8 Kramp"
5010,Кронштейн
1785,Ремкомплект двигателя Weichai Deutz TD226/WP6
4644,Болт 5 X 1.75&quot;
6613,ZS1100 Насос масляный
4302,R190-R195 Распредвал
4721,Шланг гидравлический 10x405
1550,Колесо трактора в сборе 6.00&quot; - 12.00&quot;
4780,Винт с покрытием
6519,"Насос шестеренчатый НШ правый CBJ -F306 R (шлицевой привод, выходы под углом 90°)"
1283,Ремень клиновой
1559,Стекло боковое правое кабинное JM-244 Kpl (Люкс)/JM-354
2683,Винт
1729,Колесо трактора в сборе 7.50&quot; - 20.00&quot;
1510,Палец 40h9X210
4540,R180 Ролик-натяжитель ремня генератора
3215,Суппорт
6980,Рукоятка
4506,Диск бороны зубчатый 460х4 мм
1122,Кольцо круглого сечения
5741,"ТЭН 119 С 8/0,5 Т220 (для бонеты Купец тэн испарителя)"
3757,Сальник FB 47*84*10
5006,Шина
5351,Насос масляный в сборе ZN490
2578,"Ремень приводной B3251, Т18/Т25"
3099,Шестерня
130,Комплект поршневых колец на двигатель ZHAZG1
2198,"Винт оцинк. M8x80 10,9"
5900,1 комплект клапана: Thermolac
4167,"Штуцер прямой для барашковой гайки (G 2"" - 50 мм)"
7227,Винт/SCREW
3958,Прокладка головки блока КАМАЗ с металлическим каркасом
7263,Ремень AV17*1120Li
6993,Заглушка AS40 G1/4 женская
4503,Фильтр воздушный внутр. Donaldson
3311,Подшипник 7206 (30206)
1058,SF/DF Блок подрулевых переключателей
2518,Втулка распорная углового редуктора
6408,Кронштейн
1047,TY295 Кольца поршневые
1150,Манометр
4695,Зеркало заднего вида
1651,"Гайка, стопорная"
3344,Гидравл.шланг EN853-2SN-DN10
3055,Патрон гидравлический
2925,Теплообменник SC11D/C6121 C18AB-7N0165+A
6957,Вакуумный насос ВС-VP-114N(1 ступ. 42л/мин)
1535,Кронштейн
1362,Крышка мотоблока верхняя
6187,ZS1100 Электростартер
2450,ЗИП расширенный для  трактора Jinma 244 с дизелем КМ385ВТ  (2-х дисковое сцепление)
3017,Уплотнение
6750,"Первичный вал (4-х ступенчатая коробка передач, 1-дисковое сцепление) Jinma"
5069,Вал карданный переднего моста Jinma без ГУР (L=637 мм)
7140,Эксцентрик
4055,Камера 11.2-24
2970,Пластина
1175,Скоба
6325,Тяга
3973,Распылитель LU 120 (120-02)
819,Гидроцилиндр
6840,Фильтр топливный тонкой очистки WEICHAI WD10 612600081334
6234,Вал отбора мощности ВОМ Jinma 164
10,Фильтр воздушный - элемент бумажный КМ (под капот)
4896,Втулка
5667,Насос шестеренный (Правое вращение) НШ32А-3
6924,Шатуны на двигатель SD4BW45
4300,R190 Насос топливный
6028,Заслонка
1847,Муфта (54х28)мм переход. 2-х раструбная
1805,Вал подъемный шлицевой DongFeng 244
1891,Гайка
4249,"Штуцер прямой с внутренней резьбой (G 2"" - 50 мм)"
1416,Кольцо стопорное наружн. 130 мм
3429,Компрессор 7H15 клиновой (А2) вертикальный выход 12в (автохолод)ST750301
6163,"Ремень приводной B1800Lp, 101D(E)"
6951,Пресс-фитинг DN10 M18 DKL
3924,"Заклепки, упак.0,5 кг, 6x16"
2535,Муфта
4025,KM385BT Форсунка топливная
469,Пресс-фит. DN08 M16 DKOL Male
5665,Заглушка медная пайка 42 мм
1797,Кольцо стопорное наруж. D=24 мм.
3666,Труба K-Flex ST 9х42
1897,"Ремень приводной B2362, SF-244"
7167,Насос от ВОМ Comet BP-280
3247,Труба гидравлическая
6764,Гайка
5812,Тяга нижняя сельхознавески Jinma/ Xingtai  L=650
5750,Хомут
1275,Звено цепи
6128,Вилка 1.3/4 + QR
3157,Фильтр воздушный
3268,Двойной ниппель M14
4619,"Свеча накала 10,5V-55 КМ385BT"
4104,Шайба стопорная
6300,Комплект клапанов с втулками YCD4J22T-115
445,Винт с 6-г.г. M14x130 в.с. A2
2976,Шланг гидравлический
6517,Корпус выжимного подшипника Уралец TY290/295
4042,Реле зарядки Jinma 354
2405,Топливопровод от бака топливного к насосу подкачки - обратка ТНВД TY290/295
1553,"Нож средний, 1980*203*20 (импорт 500 НВ(М16))"
461,Гильза цилиндра S1100
5162,Шплинт
924,Фильтр гидравлики элемент DongFeng 244 (58х37х228)
6545,Штуцер прямой под вилочное соединение F (T6 - 40 мм)
6355,"Втулка Jinma (h=37, ф.нар=40, ф.внут=29,5)"
6702,Долото 
4379,ZS1100 Крышка коленвала
1466,R190-R195 Шатун (A=126 мм)
6366,Чистик левый Morris
6394,Реле поворотов Уралец/Синтай
1532,Винт с головкой JD
2091,"Ремень приводной B3048, Т15"
717,Лапа Bourgault
1663,Шатунно-поршневая группа для 4TC...TCS...(1шт.) (302297-10) (302298-47)
2582,Пластина ножа JF
2303,Металлическая пластина
3795,"Наконечник поворотный резьба наружняя М18/М12, D-14 мм. правый"
824,Кольцо уплотнительное гильзы YC6108G/YC6В125 A3000-1002063B
3075,Сальник 20x30x7 CC
1853,Ротор
5115,ZS1100-ZS1115 Прокладка поддона
5844,"Штуцер угловой с наружной резьбой (G 1 1/4"" - 25 мм)"
256,Пластина
1308,"Кольцо уплотнительное 28х3,55"
605,Гидравл. шланг DN06 1020 мм
6939,Цепи противоскольжения 16/70-20
927,Форсунки 4DW91-45
2210,Отсечное устройство под шланг с гаечным крепежом в комплекте (Левое d14)
2953,Шпилька
3716,Штифт
1539,Ремкомплект гидроцилиндра 80/45
1480,Шланг гидравлический
155,Фильтр кабинный
2995,Форсунка
2746,Колодки тормозные квадрат 408107-108/4110000012013
166,Шестерня ведомая (спиральная) Jinma
2774,"Шестерня солнечная 13/15 зуб, диаметр 66"
3179,Набор сальников
4172,Звездочка
2958,Гайка M40x250
5468,Вентиль быстросъемный QC-15
689,Шланг гидравлический
2455,Роликовая цепь
3865,"Элемент фильтрующий КАМАЗ масляный ЕВРО-1,2,3 "
6802,R190 Плунжерная пара топливного насоса
292,Отвал универсальный механический (Универсал 400)
50,"Г-образные ключи шестигранные 11,0 мм"
6893,Держатель JF
7025,"Регулятор давления 4 секции мех., 150 л/м, мех. клапан"
2700,"Отвал бульдозерный (прямой)  (Беларус 82, 892, 920 и их модификации)"
4642,"Диск Ø140xØ85x3,2"
1956,Комплект
3244,Комплект уплотнений
272,Клин 12x8x28
906,Уплотнительное кольцо
7238,Корпус подшипника ЗСК-10.011.028 
6191,Шкив
2046,Нож
957,Фильтрующий элемент d38x125 мм (100 меш зеленый)
4375,Эксцентрик
1746,Пластина-936863
1950,Цилиндр 80/40640/15
2781,Отвал 
1596,Насос от ВОМ Comet BP-300
5220,Подшипник 206 (6206)
5907,Блок управления
2658,Тройник переходной 42х28х42
190,"Штуцер 3/8""х1/2"" SAE"
6535,Шланг EN857-2SC-DN10 exceed
6431,Клапан впускной KM385 ВТ
5420,Кольцо гильзы цилиндров уплотнительное TY290
980,Звездочка KUHN
1557,Втулка 25X28X16
783,Корпус муфты с вилкой K32 B. W2280
6034,"Насос шестеренчатый НШ левый CBN-Е310 (шлицевой привод, с площадкой, выходы под углом 180°)"
4566,Патрубок радиатора
3829,R195 Венец маховика Z=118
790,Муфта
5842,Ступица колеса
2601,"Коленвал (Коленчатый вал)  KM385BT/ YD385  (JM/FT/ДТЗ/DF/FS 244, 254)"
2351,Кольцо резинометаллическое М18
3516,Вкладыши шатунные КМ130/ КМ138 - Комплект на шатун
3057,Пружина натяжная
3133,Топливопровод от фильтра к ТНВД КМ385BT/LL380BT
4826,Пружина
1496,"Винт M16x1,5x34"
4084,Кольцо упорное к МИМ-600
5288,Вилка 1 3/8&quot; 21 элемент
4185,Прокладка ГБЦ ZN490QA DongFeng 404
7185,Зажим
944,Уголок 45  D22мм 2-раструбный
541,Вилы для сена (на погрузчик Универсал 400)
5634,Цепь 5684 10X32 5GL TZN
6680,Цепь
962,Роликовая цепь
6708,Тройник
6423,"Комплект клапанов, впускной YC6108G/YC6В125 330-1007011D"
3484,Сальник 17х30х10
4499,Колодки тормозные задние Газ 3302 комплект
4525,Кольцо стопорное KUHN
5268,Пружина
6306,Диск сцепления (1-дисковое) Foton244
219,Сальник 55х75х12 коленвала передний КМ385/LL380
4767,"Болт 1&quot;-8 x 8 1/2&quot;, gr 5"
431,Пресс-фитинг без кольца круглого сечения.11/16 ORFS
6911,Комплект клапанов YTO
7229,Цепь роликовая
2400,Зубчатое колесо
4877,Заглушка водяной рубашки 50 TY290/295
2410,Щуп
2471,"Прокладка для фитингов с уплотнительными кольцами (G 3"")"
7256,Крышка головки блока цилиндров  ГБЦ KM385BT (без компрессора)
1476,Камера
3954,Комплект уплотнений
5337,"Штуцер прямой для барашковой гайки (G 1 1/2"" - 35 мм)"
3372,U-болт
7015,Шатун WEICHAI WD10 61500030009
2233,Гайка стопорная (Уралец/Xingtai-224)
1006,Пресс-фитинг 1/2NPT
5784,Рычаг переключения передач в сборе Уралец
4919,"Подшипник 7305 (30305) 25x62x18,25"
1827,Винт
813,Ролик
6113,"Кольцо уплотнительное 63х3,55"
3624,Переходник 3/4 JIC x 3/4 BSP
4073,Винт M10X35
4802,Штуцер прямой под вилочное соединение F (T5 - 13мм)
4924,Турбина TBP4 SC9D220 D38-000-720
732,Генератор Weichai Deutz TD226/WP6 13024345
608,Компрессор Weichai Deutz TD226/WP6 13026014
3024,Палец
4036,Кольцо
1856,Комплект уплотнений
1678,Подшипник
5356,Тройник переходной 54х42х54
4866,Ремень клиновой NH
5910,Стойка предплужника
5232,Шланг всасывающий (32 мм)
5990,Скоба для вилочного соединения (T2)
2969,Комплект поршневых колец на двигатель 4DW91-45
6865,Корпус
6452,Зубчатое колесо редуктора
2281,Зубья сетчатой бороны 12 мм л.
38,UY207-2S.H подшипник шариковый самоустанавливающий
6160,Кольцо уплотнительное
458,Адаптер
572,"Сателлит 12 зубьев Уралец/Синтай/Xingtai 160, 180, 220"
323,ZS1100 Маховик в сборе с венцом Z=141
367,Пресс-фитинг DN06 M18 DKOL
1425,Подшипник
4631,Комплект ножей МИМ-600
6116,Звездочка KUHN
6946,Шкив
5707,Втулка 1/2&quot;
5556,Палец поршневой КМ385ВТ
3395,XT220/224 Фонарь задний
2218,Уголок
7053,Фильтр воздушный
3727,Пресс-фитинг DN20 M36 DKOL 90°
4098,Шланг
6053,Рычаг переключения передач
3403,Помпа водяная YC6108G/YC6В125 6QAJ-1307010D
6461,Кольцо стопорное наруж. D=25 мм. (Кольцо упорное 25 )
6289,Кольцо уплотнительное
206,"Комплект клапанов, выпускной SC11D/C6121 C04AL603"
3509,Лемех 150x8x256
6825,Суппорт
1074,Венец маховика ZHAZG1 130
2579,Коробка отбора мощности ЗСК-10 0157К-4206.008 
520,ZS1100-ZS1115 Кран топливный с трубкой
3895,Генератор Bosch
1584,Гайка самостопорящаяся ZBC KUHN
7201,Крышка GW8112
6235,Катушка
3869,"Поршень ZS195 (D=94,4 мм) под острую форсунку"
6614,Пружина сжатия
7270,"Отвал бульдозерный механический (со сменными ножами) (Беларус 82, 892, 920 и их модификации)"
4435,Диск
4402,Крышка гидробака задняя Jinma
3941,Сальник 35х47х7 (углового редуктора)
971,"Плунжерная пара ZN490, ZN390, ZN485 7 мм"
2142,Ступица
120,Корпус подшипника
6540,"Штуцер прямой для барашковой гайки (G 3"" - 75 мм)"
6370,Ремень приводной Z900
5404,Втулка
4289,Сателлит 10 зубьев заднего моста DongFeng 240/244
1335,Приспособление для навески борон КПС 04.000А
5824,Уплотнение 60x2
42,Пластина
5649,"Цепи противоскольжения 9,5х24 (Комплект)"
5056,Нож средний грейдерный GR 215 (2130*200*20)
273,Заглубитель почвофрезы универсальный 1GQN 120/140/160/180/220
4511,Втулка шатуна DLH1100
2682,Кольцо стопорное внутреннее D=37 мм.
5676,Шестерня ведущая и ведомая для газонокосилки FM150
5504,"Масло синтетическое BSE 32, канистра 5л (91511004)"
2058,Тавотница
1493,"Гайка барашковая (G 1 1/4"")"
5292,Шатуны на двигатель ZHAZG1
5447,Лапа Bourgault
5546,Поршневой комплект на дизель J285
301,Помпа  YTO
2926,Крыльчатка вентилятора 490/42 мм
87,Вал редуктора ведущий ЗСК-10.012.004 
1931,Корпус подшипников полуоси правый Файтер Т22
4458,Муфта 7/8 х 1/2 (22х12мм)переход. 2-х раструбная
1547,Болт
2946,Шайба
985,Подшипник качения 60204 (6204Z)
839,Распылитель электрический в сборе (Проходной)
1674,Переходник
3163,Двойной ниппель 5/8 BSP
4789,Фильтр масляный Fleetguard
2447,Уплотнение
1411,Подшипник
621,Распылитель ST 110 (110-03)
753,Шестерня правой полуоси (13/20 зубьев) Уралец/Синтай
7153,Ремкомплект двигателя SC9D220
2728,Подшипник 32009 X
5521,Гайка
6036,Камера 6.00&quot; - 12.00&quot;
5592,Двигатель 4DW91-45
1990,Гидравл.шланг EN853-2SN-DN32
7118,Ступица Morris
4142,Штуцер A-31482/10  SAE1/4''-1/8''NPT с клапаном Шредера и колпачком
3468,"Кран 3-х ходовой (G 2"", непрерывного потока)"
3341,"Нож средний грейдерный двухсторонний с наплавкой, 1820 мм (на грейдеры ДЗ 122; 143, 180)"
1533,Болт
4295,Насос мембранно-поршневой ZETA 140 1С
2411,Диск сцепления
7061,Пластина
5461,Шестерня главного вала Z=43
5207,Шестерня вала задней передачи Z=20/Z=26
6462,Сальник 17х30х7
6573,Палец поршневой DL190-12
5090,Винт M10x35
912,Фильтрующий элемент d27x69 мм (100 меш зеленый)
1298,R180 Вал декомпрессора
6927,Рычаг поворотный левый (не раздвижная колея)
3909,Шарикоподшипник радиальный
6067,Крестовина карданного вала 35х98 для сечения квадрат
4700,Кольцо стопорное внутр. 125 мм
3836,Палец
5939,Распылитель электрический в сборе (Правый)
3649,Гидроцилиндр 40-25-440-60
935,Распорный штифт
1424,Ремень клиновой зубчатый Lw M=S
5020,Насос масляный Weichai Deutz TD226/WP6 13039311
6474,Кронштейн
3353,Палец
7207,Крышка
3212,Подшипник 205 (6205)
5878,Стопорное кольцо
1195,Гайка
1148,Шестерня дополнительной передачи неподвижная (без шпоночного паза) Уралец/Синтай
558,Чистик правый
2237,Втулка клапана направляющая выпусного Weichai Deutz TD226/WP6 13026872/12159459
6242,Фильтр воздушный внешн. Donaldson
4072,Корпус распылителя на 3 форсунки Compact Jet (406424A7  D22_F10)
1403,Штуцер угловой под вилочное соединение M (T3 - 13 мм)
3155,R195 Комплект прокладок двигателя
4610,Диск
6266,Вал горизонтальный рулевого механизма Уралец/Синтай
6247,Контргайка M 24
4416,"Штуцер угловой с наружной резьбой (G 1"" - 32 мм)"
3628,Распылитель ID3 120 C (120-01 C)
81,Прокладка крышки клапанов YCD4R11G-68
6093,Кольцо круглого сечения
3246,Термостат BM58G
434,Подшипник игольчатый 27х32х24
4993,Помпа водяная - насос водяной в сборе  TY295IT (JD295) (Двухручьевая)
2619,Подшипник
3936,Втулка 90*70*80
6022,"Шатунно-поршневая группа Битцер, 4TC(S) Левый+Правый STD"
5595,Винт с 6-г.г. M16x100 в.с. A2
1745,Тяга пресс-подборщика YK0870 (L=330 мм)
5417,Шланг гидравлический 143 см угловой 22-27мм
2290,Головка 77 мм
631,"Свеча накала впускного коллектора JD (TY295IT), КМ385"
3694,"Гидронасос CBN-E314-CFBL, Т18-Т25"
4015,Ремкомплект суппорта LW500F/МL541R/N КВАДРАТ 408107-108/250200143
5790,Сальники коленвала ZH4100 (комплект 2 шт)
7236,Распылитель TR 80 С (80-03)
6026,KM385BT Комплект вкладышей шатуна
5765,Вал дифференциала (под гайки)
5813,Винт с внутренним шестигранник
6665,"Крестовина Ø35x106,3мм / Ø35x113,8мм CVJ T80 / V80 Comer"
4858,Стекло кабины Xingtai заднее
5255,Распылитель IDK 120 (120-01)
302,Палец с ручкой 22x162 мм Kramp
5945,Радиатор
6851,Заглушка
2199,Диск
4146,Помпа водяная - насос водяной S195/S1100
7146,Вал №2 редуктора подъемного навесного оборудования Т25 (2017)
7135,Вал привода разбрасывателя семян
1633,Форсунка
91,"Фонарь задний КАМАЗ,МАЗ,УРАЛ левый с проводом "
2041,Комплект уплотнений
3037,Ремень генератора Z940
4007,Вкладыши шатунные 4RMAZG
1836,Подшипник шариковый
3486,Болт-скоба
6778,Фильтр
5032,Чистик
2954,LY206-2F подшипник шариковый самоустанавливающийся
2262,Распылитель ID3 120 C (120-02 C)
1880,Дизельный двигатель КМ385BT
5146,Втулка распорная
2655,Турбина J75S DEUTZ TD226B-6G 12270137/13031785
2461,"Кольцо 55X63X1,5"
533,Коробка отбора мощности 04-00.000А-03  
6126,Шплинт
4158,Ремкомплект двигателя SD4BW45
2902,R190 Фильтр воздушный маслоналивной в сборе
1187,Фильтр 322-4 напорный с вилочным соединением T4 M-M (50 меш (синий) с клапаном)
5442,Шланг
4322,Редуктор почвофрезы в сборе 1GQN-160
3894,"Штуцер угловой для барашковой гайки (G 1 1/2"" - 35 мм)"
854,Палец мотовила Deutz-Fahr
5693,Рычаг
3579,Клапан впускной S1100
5358,Ступица 120 мм
2604,Болт
2267,Вал МОМ
5706,Корпус подшипника первичного вала Jinma (3-х ступенчатая коробка)
968,Топливопровод Высокого Давления 2-го цилиндра TY295IT (JD)
1437,Кольца поршневые J285 (компл. 4 шт)
4107,Диск сцепления двигателя S1100 (комплект 2 шт)
3575,Кольцо
5513,Втулка
3824,Тавотница
6763,Шплинт (Штифт) с кольцом / Палец стопорный замковый d=8 мм
6047,"Вентиль для кондиционера СН-602-04 1/4"""
3211,Распылитель IDKT 120 C (120-04 C)
6046,Крышка передняя
1808,Вилы транспортные
6287,Втулка
6871,Крышка КПП задняя
1360,Патрон гидравлический
6131,Болт
4256,Вакуумный насос WK-125(1 ступ. 70л/мин)
2302,Генератор YTO 4105 1000W
7100,XT504C Крышка вала отбора мощности
5682,Шестерня (43/26 зубьев) Jinma JM
4041,Прокладка ГБЦ YTO
950,Звездочка
2896,Винт M10-25
5397,Прокладка ГБЦ BM58G
3650,Контроллер MC-4A7D4R4O
6709,"Штуцер 5/8""х5/8"" SAE U2-10"
2406,Ремень клиновой зубчатый Lw M=S
6717,Р/К ТНВД двигателя СМД-14-18/А-41 с прокладками
2974,Двигатель дизельный  TY295IT (JD295/JD295B)
4781,Шпонка
3918,"Гайка M 16 X 1,5 ISO4032-10"
2637,Фара на ZL20 левая
5278,Фильтр воздушный внутр. Donaldson
4699,Палец
6861,Уплотнительная шайба
6583,"Кран 3-х ходовой (G 1 1/2"", с прерыванием потока)"
811,Вал карданный КО806-4250012 
6881,Уплотнение
3427,"Звездочка 22 зуба, 6 шлицов, d=21 мм пресс-подборщик YK0850"
4992,"Фильтр топливный элемент DongFeng 240, 244, 254"
4013,Фильтрующий элемент d107x200 мм (80 меш желтый)
1146,Помпа YCD4G22T-115
2208,Сальник 80х100х10
3203,Корпус распылителя под шланг (тип RAU) в комплекте (Концевое)
5644,Первичный вал Jinma 164
3412,"Комплект клапанов, впускной WEICHAI WD10 612600050073"
2993,Винт
4303,Шайба 35X45X0.2
884,Термостат YN38
1531,"Плунжерная пара КМ 7,5 мм"
5542,Сальник 50х80х12 коленвала S195/S1100
109,Болт
3597,Лопатка разбрасывающая OS 230
7237,Топливный фильтр CX0710B4 VF-3811S WEILIDA
1753,Блок предохранителей Jinma 354
1147,Шестерня правой полуоси (15/24 зуба) Уралец/Синтай
4685,Роликовая цепь
5174,Нож твердосплавной ЖРО грейдерный ДЗ 180 (с победитовой вставкой) 
424,Пресс-фитинг DN10 M18 DKOL
6703,Болт -0.5&quot;D X 2.0625&quot; X7.25&quot;
4737,"Термостат 6496 (аналог К-59 ранко 2,5 (L1275)"
1962,Замок
5027,"Вал карданный 6*6 шлицов, 770 мм, сечение-трехлимонник, б/к"
5801,Датчик уровня топлива Jinma (трубчатого типа)
2214,Масляный насос YCD4R11G-68
6670,"Датчик-реле темп. Т32М-04-2,5 (100-300 град)(воздух)"
170,Уплотнительное кольцо редуктора
2054,Втулка
4312,Датчик давления масла (Уралец)
3020,Радиатор в сборе 4DW91-45
5796,Топливные трубки (комплект) SC11D/C6121
1191,Гидроцилиндр
1134,Штуцер прямой под вилочное соединение M (T3 - 20 мм)
5327,Шестерня коническая (20 зубьев) пресс-подборщик YK0850/YK0870
7063,"Лемеха для долота Unia, правый VIS 09"
4712,"Вал карданный 6*6 шлицов, 730 мм, сечение-трехлимонник, б/к"
3297,Шпилька металлическая М8х50
4553,Шланг Nobelair Super 1&quot;
6335,Карданный шарнир
3589,Гайка
2391,Шайба дозирующая пластиковая (03)
421,"Фитинг корпуса распылителя (Arag) (426519 3/4""-19)"
5143,Болт/Bolt
5515,Компрессор воздушный на двигатель BM58G
3217,Покрышка 11.20&quot; - 28.00&quot;
620,Двойной ниппель M22
7240,Нож
3585,Подшипник 922205К роликовый 25х52х15.
1250,Подшипник 30210
6705,R190-R195 Вкладыши шатуна
376,Ось вилки 1 / задней передачи Т25 (2017)
3008,Коленвал BM58G
4956,Гидроцилиндр 45*1100 мм
614,Эксцентрик
2377,Компрессор воздушный на двигатель SD4BW45
4859,Подшипник 6204
3338,К.круг.с. 56 x 2 Viton
2132,Фонарь задний в корпусе малый
1365,Муфта соединительная в сборе Уралец
2532,Вкладыш корпуса подшипника
5022,Кольцо круглого сечения
4588,Роликовая цепь
7205,"Нож Зуб Почвофрезы IT245, хвостовик 30*10 (Фреза 1GQN-180/220)"
55,Топливный фильтр
1233,Кольцо стопорное 62
489,Вентилятор 120*120*38 (20W)
6148,Цилиндр 60/30/200
4885,Помпа ручной подкачки топлива WEICHAI WD10 612600082504
699,"Патрубок радиатора нижний Jinma 184, 200, 204, 240, 244, 254"
1518,"Винт с 6-г.г. M12x170 8,8 оц."
3396,"Труба медная (к) 5/8"" бухта (15,9x0,9х15м)"
4165,Зажим
6023,ZS1100-ZS1115 Фильтрующий элемент воздушный
4471,Ремень В-2360
6528,Кольцо стопорное
5794,Уплотнительное кольцо
4664,Вентилятор (крыльчатка) охлаждения TY290/295
6111,Уплотнительное кольцо
6534,Ремкомплект гидроцилиндра 125/80
3116,Подшипник
1177,Фильтр топливный Fleetguard
4011,Корзина сцепления Jinma-804 (AEC-804)
189,Карданный вал 80*70 см
1056,Отвал бульдозерный механический (со сменными ножами) (Универсал 800)
6878,Палец
1349,Генератор L378-12100 DongFeng (крепление левое)
2722,Ремкомплект
7190,Кольцо гильзы цилиндров уплотнительное LL380
3706,"Наконечник поворотный резьба наружняя М24/М16, Jinma 354 без ГУР правый"
798,"Болт креп/ножа+ гайка, d16 мм"
5487,Штуцер угловой с прокладкой и гайкой в сборе (d 32)
1918,Крышка гидробака передняя Jinma (D=63 мм)
3193,"Шайба M8 8,4X 24X 2"
6108,Шестерня конечной передачи ведомая (69 зубьев) Jinma
3647,Втулка клапана направляющая YCD4J22T-115
1692,Кольцо
4572,"Валик вилки Jinma 184,200, 204, 240, 244, 254"
3915,Шатун в сборе YD385
29,Регулировочный винт M8x1 с гайкой S1100
6531,Ремень клиновой
632,Подшипник 42506 (NJ2206ЕМ)
701,Выключатель массы
6621,Ролик
6794,Палец
3444,Шайба
3990,Звёздочка
1711,Болт с гайкой для крепления шатуна
6698,Тяга Morris
4367,Блок фар левый DongFeng 244
